2,Dinamo,??????,8A+11,11/09/1938,?39.6 m,"pylon, triple-vault",55°47?23?N 37°33?29?E? / ?55.7897°N 37.5580°E? / 55.7897; 37.5580? (Dinamo)
2,Belorusskaya,???????????,5,11/09/1938,?33.1 m,"pylon, triple-vault",55°46?36?N 37°35?01?E? / ?55.7767°N 37.5835°E? / 55.7767; 37.5835? (Belorusskaya (Zamoskvoretskaya line))
2,Mayakovskaya,??????????,,11/09/1938,?33.1 m,"column, triple-vault",55°46?12?N 37°35?45?E? / ?55.7701°N 37.5958°E? / 55.7701; 37.5958? (Mayakovskaya)
2,Tverskaya,????????,7+9,20/07/1979,?42 m,"pylon, triple-vault",55°45?53?N 37°36?23?E? / ?55.7647°N 37.6065°E? / 55.7647; 37.6065? (Tverskaya)
2,Teatralnaya,???????????,1+3,11/09/1938,?33.9 m,"pylon, triple-vault",55°45?28?N 37°37?08?E? / ?55.7578°N 37.6190°E? / 55.7578; 37.6190? (Teatralnaya)
2,Novokuznetskaya,?????????????,6+8,20/11/1943,?37.5 m,"pylon, triple-vault",55°44?29?N 37°37?46?E? / ?55.7415°N 37.6295°E? / 55.7415; 37.6295? (Novokuznetskaya)
2,Paveletskaya,??????????,5,20/11/1943,?33.5 m,"column, triple-vault",55°43?50?N 37°38?16?E? / ?55.7305°N 37.6377°E? / 55.7305; 37.6377? (Paveletskaya (Zamoskvoretskaya line))
2,Avtozavodskaya,?????????????,14,01/01/1943,?11 m,"column, triple-span",55°42?27?N 37°39?27?E? / ?55.7074°N 37.6576°E? / 55.7074; 37.6576? (Avtozavodskaya (Zamoskvoretskaya line))
2,Tekhnopark,?????????,,28/12/2015,0 m,"surface, open",55°41?42?N 37°39?51?E? / ?55.6950°N 37.6641°E? / 55.6950; 37.6641? (Tekhnopark (Moscow Metro))
2,Kolomenskaya,???????????,,11/08/1969,?9 m,"column, triple-span",55°40?43?N 37°39?50?E? / ?55.6785°N 37.6638°E? / 55.6785; 37.6638? (Kolomenskaya (Moscow Metro))
2,Kashirskaya,?????????,11A,11/08/1969,?7 m,"column, triple-span",55°39?18?N 37°38?55?E? / ?55.6551°N 37.6487°E? / 55.6551; 37.6487? (Kashirskaya)
2,Kantemirovskaya,??????????????,,30/12/1984,?8 m,"single-vault, shallow",55°38?09?N 37°39?23?E? / ?55.6358°N 37.6564°E? / 55.6358; 37.6564? (Kantemirovskaya)
2,Tsaritsyno,????????,,30/12/1984,?8 m,"column, triple-span",55°37?17?N 37°40?10?E? / ?55.6214°N 37.6694°E? / 55.6214; 37.6694? (Tsaritsyno)
2,Orekhovo,???????,,30/12/1984,?9 m,"column, triple-span",55°36?48?N 37°41?42?E? / ?55.6132°N 37.6949°E? / 55.6132; 37.6949? (Orekhovo)
2,Domodedovskaya,?????????????,,07/09/1985,?9.5 m,"column, triple-span",55°36?39?N 37°43?07?E? / ?55.6108°N 37.7186°E? / 55.6108; 37.7186? (Domodedovskaya)
2,Krasnogvardeyskaya,?????????????????,10,07/09/1985,?9 m,"single-vault, shallow",55°36?49?N 37°44?40?E? / ?55.6137°N 37.7444°E? / 55.6137; 37.7444? (Krasnogvardeyskaya)
2,Alma-Atinskaya,????-????????,,24/12/2012,?10 m,"single-vault, shallow",55°37?57?N 37°45?58?E? / ?55.6326°N 37.7660°E? / 55.6326; 37.7660? (Alma-Atinskaya)
3,Pyatnitskoye Shosse,????????? ?????,,28/12/2012,?11 m,"column, double-span",55°51?23?N 37°21?16?E? / ?55.8563°N 37.3544°E? / 55.8563; 37.3544? (Pyatnitskoye Shosse)
3,Mitino,??????,,26/12/2009,?14 m,"single-vault, shallow",55°50?45?N 37°21?44?E? / ?55.8457°N 37.3622°E? / 55.8457; 37.3622? (Mitino)
3,Volokolamskaya,?????????????,,26/12/2009,?14 m,"column, triple-span",55°50?07?N 37°22?56?E? / ?55.8354°N 37.3822°E? / 55.8354; 37.3822? (Volokolamskaya)
3,Myakinino,????????,,26/12/2009,0 m,"surface, single-span",55°49?31?N 37°23?07?E? / ?55.8252°N 37.3852°E? / 55.8252; 37.3852? (Myakinino)
3,Strogino,????????,,07/01/2008,?8 m,"single-vault, shallow",55°48?14?N 37°24?11?E? / ?55.8038°N 37.4031°E? / 55.8038; 37.4031? (Strogino)
3,Krylatskoye,??????????,,31/12/1989,?9.5 m,"single-vault, shallow",55°45?24?N 37°24?29?E? / ?55.7567°N 37.4081°E? / 55.7567; 37.4081? (Krylatskoye)
3,Molodyozhnaya,??????????,,05/07/1965,?6.5 m,"column, triple-span",55°44?27?N 37°25?00?E? / ?55.7408°N 37.4168°E? / 55.7408; 37.4168? (Molodyozhnaya)
3,Kuntsevskaya,??????????,4,07/01/2008,0 m,"surface, open",55°43?51?N 37°26?45?E? / ?55.7307°N 37.4459°E? / 55.7307; 37.4459? (Kuntsevskaya)
3,Slavyansky Bulvar,?????????? ???????,,07/09/2008,?8.5 m,"single-vault, shallow",55°43?47?N 37°28?14?E? / ?55.7296°N 37.4706°E? / 55.7296; 37.4706? (Slavyansky Bulvar)
3,Park Pobedy,???? ??????,8A,06/05/2003,?73.6 m,"pylon, triple-vault",55°44?10?N 37°31?06?E? / ?55.7362°N 37.5182°E? / 55.7362; 37.5182? (Park Pobedy)
3,Kiyevskaya,????????,4+5,05/04/1953,?38 m,"pylon, triple-vault",55°44?39?N 37°33?52?E? / ?55.7442°N 37.5645°E? / 55.7442; 37.5645? (Kiyevskaya (Arbatsko-Pokrovskaya line))
3,Smolenskaya,??????????,,05/04/1953,?50 m,"pylon, triple-vault",55°44?51?N 37°34?56?E? / ?55.7474°N 37.5823°E? / 55.7474; 37.5823? (Smolenskaya (Arbatsko-Pokrovskaya line))
3,Arbatskaya,?????????,1+4+9,05/04/1953,?41 m,"pylon, triple-vault",55°45?08?N 37°36?22?E? / ?55.7522°N 37.6061°E? / 55.7522; 37.6061? (Arbatskaya (Arbatsko-Pokrovskaya line))
3,Ploshchad Revolyutsii,??????? ?????????,2+1,13/03/1938,?33.6 m,"pylon, triple-vault",55°45?24?N 37°37?18?E? / ?55.7566°N 37.6216°E? / 55.7566; 37.6216? (Ploshchad Revolyutsii)
